license,count,sum
apache-2.0,5926,90289624
mit,1759,98042107
cc-by-4.0,467,3522845
cc-by-sa-4.0,257,1930594
cc-by-nc-sa-4.0,170,1956003
cc-by-nc-4.0,157,136236
other,121,672741
afl-3.0,113,736387
gpl-3.0,90,130389
bigscience-bloom-rail-1.0,48,655832
bsd-3-clause,36,91675
creativeml-openrail-m,33,1278874
cc0-1.0,32,76105
cc,29,132489
gpl,21,1287
agpl-3.0,14,1116
openrail,12,8785
lgpl-3.0,10,851
unknown,10,8257
cc-by-sa-3.0,9,3390
unlicense,7,4274
cc-by-nc-sa-3.0,6,2662
lgpl-lr,6,125
wtfpl,5,310
cc-by-nc-3.0,3,151
bsd,2,12
cc-by-nc-nd-4.0,2,385
lgpl,2,110
gpl-2.0,2,33
isc,2,364
odc-by,1,301
eupl-1.1,1,6
osl-3.0,1,0
artistic-2.0,1,10
ecl-2.0,1,29
cc-by-2.0,1,7813
