license,repos,downloads,% of repos,% of downloads
apache-2.0,22356,133237813,49.46,42.83
mit,9109,144916435,20.15,46.58
creativeml-openrail-m,2992,10173325,6.62,3.27
openrail,2043,45727,4.52,0.01
afl-3.0,1511,19711,3.34,0.01
cc-by-4.0,1491,2801048,3.3,0.9
other,1098,1308660,2.43,0.42
unknown,574,8341,1.27,0.0
cc-by-sa-4.0,539,4810789,1.19,1.55
cc-by-nc-sa-4.0,508,7890021,1.12,2.54
cc-by-nc-4.0,434,1556049,0.96,0.5
gpl-3.0,369,2123006,0.82,0.68
artistic-2.0,307,1852,0.68,0.0
cc,280,1026,0.62,0.0
bigscience-bloom-rail-1.0,187,279532,0.41,0.09
bsd-3-clause,175,195531,0.39,0.06
cc0-1.0,160,19604,0.35,0.01
bigscience-openrail-m,145,3595,0.32,0.0
wtfpl,115,483,0.25,0.0
agpl-3.0,92,28577,0.2,0.01
unlicense,85,1862,0.19,0.0
gpl,63,1284,0.14,0.0
bsl-1.0,59,41,0.13,0.0
openrail++,54,1638861,0.12,0.53
cc-by-sa-3.0,38,1937,0.08,0.0
bsd,37,1121,0.08,0.0
cc-by-3.0,35,886,0.08,0.0
gpl-2.0,31,81,0.07,0.0
bsd-2-clause,31,8,0.07,0.0
cc-by-2.0,26,10226,0.06,0.0
cc-by-nc-3.0,24,4953,0.05,0.0
lgpl-3.0,23,2289,0.05,0.0
cc-by-nc-nd-4.0,19,637,0.04,0.0
osl-3.0,18,24,0.04,0.0
cc-by-nc-sa-3.0,13,1483,0.03,0.0
pddl,13,4,0.03,0.0
lgpl-lr,12,362,0.03,0.0
ecl-2.0,12,9,0.03,0.0
bsd-3-clause-clear,11,0,0.02,0.0
c-uda,11,0,0.02,0.0
cc-by-nd-4.0,11,6,0.02,0.0
lgpl,11,2991,0.02,0.0
gfdl,10,0,0.02,0.0
mpl-2.0,9,10,0.02,0.0
isc,8,250,0.02,0.0
odc-by,7,0,0.02,0.0
odbl,6,0,0.01,0.0
cc-by-nc-sa-2.0,6,0,0.01,0.0
zlib,6,0,0.01,0.0
ms-pl,5,3,0.01,0.0
cc-by-nc-2.0,5,0,0.01,0.0
ncsa,4,0,0.01,0.0
epl-2.0,3,0,0.01,0.0
cc-by-2.5,3,0,0.01,0.0
epl-1.0,2,0,0.0,0.0
cc-by-nc-nd-3.0,2,0,0.0,0.0
ofl-1.1,1,0,0.0,0.0
lppl-1.3c,1,0,0.0,0.0
postgresql,1,0,0.0,0.0
eupl-1.1,1,4,0.0,0.0
lgpl-2.1,1,0,0.0,0.0
